epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.308,0.74918,4.47471,1.0971,0.26585,0.79121,0.35009,0.3109,0.53774,2.85155,0.81982,0.00015,0.00015,0.00015
2,50.6309,0.5594,2.40693,0.92227,0.40967,0.77679,0.41675,0.37181,0.60859,2.57999,0.84081,0.000308633,0.000308633,0.000308633
3,67.7901,0.52131,1.84186,0.89901,0.38088,0.67659,0.45708,0.36678,0.74496,3.32664,0.90953,0.000463244,0.000463244,0.000463244
4,83.5741,0.62058,1.56586,0.94634,0.24579,0.38018,0.35174,0.2955,0.70021,3.27795,0.8886,0.000613833,0.000613833,0.000613833
5,98.0588,0.62209,1.15909,0.93294,0.04158,0.23115,0.04134,0.02886,1.44952,4.16119,1.60437,0.0007604,0.0007604,0.0007604
6,113.306,0.64858,1.08889,0.91241,0.25047,0.10417,0.14954,0.08196,1.58909,3.67455,1.79437,0.000902945,0.000902945,0.000902945
7,129.093,0.64098,1.09296,0.94803,0.09998,0.27324,0.10108,0.06397,1.43617,12.5154,1.74773,0.00104147,0.00104147,0.00104147
8,145.463,0.57051,1.01582,0.90854,0.875,0.06944,0.13309,0.05645,1.61601,5.87364,1.89543,0.00114172,0.00114172,0.00114172
9,161.33,0.61611,0.95009,0.90266,0.29837,0.46924,0.37919,0.30513,1.12436,2.99358,1.21522,0.00112625,0.00112625,0.00112625
10,177.836,0.58203,0.89713,0.9002,0.28406,0.5,0.36766,0.27533,1.12634,3.31186,1.24588,0.00111078,0.00111078,0.00111078
11,196.435,0.6006,0.9046,0.87916,0.29031,0.35417,0.22081,0.16153,0.93919,4.21304,1.06805,0.00109531,0.00109531,0.00109531
12,212.386,0.58706,0.76982,0.88414,0.32416,0.56647,0.37107,0.29803,0.76838,2.41068,0.93955,0.00107984,0.00107984,0.00107984
13,225.587,0.54969,0.7734,0.8863,0.40656,0.61269,0.49517,0.41398,0.74885,1.77317,0.90058,0.00106437,0.00106437,0.00106437
14,240.613,0.59963,0.79707,0.89641,0.47179,0.70337,0.6299,0.5109,0.66507,1.48908,0.87601,0.00104891,0.00104891,0.00104891
15,256.492,0.5561,0.73016,0.8855,0.39298,0.57081,0.44442,0.37325,0.66773,2.00736,0.85829,0.00103344,0.00103344,0.00103344
16,273.57,0.53773,0.81902,0.88512,0.46735,0.4871,0.50727,0.42446,0.6777,2.14008,0.85234,0.00101797,0.00101797,0.00101797
17,289.563,0.57358,0.98873,0.90256,0.52264,0.7996,0.64477,0.53316,0.63745,1.23633,0.84891,0.0010025,0.0010025,0.0010025
18,304.41,0.53499,0.80731,0.88139,0.49263,0.85516,0.6811,0.57915,0.6012,1.39833,0.82755,0.000987031,0.000987031,0.000987031
19,319.321,0.50912,0.77987,0.89466,0.48657,0.90033,0.73467,0.62542,0.59706,1.25185,0.83173,0.000971562,0.000971562,0.000971562
20,332.747,0.49896,0.63004,0.86035,0.46119,0.83617,0.6888,0.60465,0.61309,1.18527,0.83539,0.000956094,0.000956094,0.000956094
21,347.653,0.54113,0.65464,0.87938,0.63198,0.75694,0.7632,0.67902,0.57008,1.13736,0.82014,0.000940625,0.000940625,0.000940625
22,366.257,0.50084,0.60414,0.87327,0.62774,0.78059,0.77966,0.68856,0.58153,0.87711,0.83479,0.000925156,0.000925156,0.000925156
23,382.95,0.48218,0.60704,0.84466,0.48771,0.86691,0.69014,0.61256,0.6181,1.27106,0.83874,0.000909688,0.000909688,0.000909688
24,398.188,0.52096,0.74573,0.88855,0.58173,0.91975,0.79199,0.68865,0.58588,1.13156,0.83112,0.000894219,0.000894219,0.000894219
25,414.188,0.56051,0.7084,0.88799,0.68324,0.64865,0.77988,0.69121,0.54786,1.02177,0.81801,0.00087875,0.00087875,0.00087875
26,428.314,0.49758,0.64787,0.87655,0.78935,0.67276,0.80999,0.71667,0.56145,0.93319,0.82247,0.000863281,0.000863281,0.000863281
27,443.489,0.52367,0.69219,0.8667,0.6741,0.78525,0.75352,0.66194,0.55937,0.92331,0.82212,0.000847813,0.000847813,0.000847813
28,458.394,0.47191,0.69771,0.87236,0.78104,0.76584,0.79616,0.69049,0.58122,0.77773,0.82798,0.000832344,0.000832344,0.000832344
29,472.986,0.50769,0.58347,0.86698,0.71787,0.81204,0.78372,0.693,0.57116,0.87856,0.82417,0.000816875,0.000816875,0.000816875
30,487.686,0.47866,0.58732,0.8606,0.67076,0.88363,0.79212,0.68477,0.60973,0.88814,0.82927,0.000801406,0.000801406,0.000801406
31,503.736,0.48516,0.52846,0.865,0.59898,0.85443,0.71182,0.62046,0.58164,0.88704,0.82558,0.000785938,0.000785938,0.000785938
32,516.526,0.5147,0.579,0.86205,0.55813,0.8108,0.6132,0.55125,0.57828,1.54946,0.83619,0.000770469,0.000770469,0.000770469
33,534.321,0.46898,0.52352,0.87813,0.70311,0.8436,0.76977,0.68836,0.53394,0.84414,0.81513,0.000755,0.000755,0.000755
34,548.307,0.46567,0.53286,0.8619,0.75099,0.76133,0.79577,0.69398,0.59106,0.82313,0.82513,0.000739531,0.000739531,0.000739531
35,562.483,0.45746,0.52387,0.8538,0.64198,0.75357,0.71114,0.63486,0.54951,1.0848,0.81826,0.000724062,0.000724062,0.000724062
36,577.558,0.46385,0.50529,0.87525,0.60352,0.86415,0.77255,0.68046,0.60129,1.08541,0.83108,0.000708594,0.000708594,0.000708594
37,588.958,0.49251,0.54443,0.86895,0.64464,0.89388,0.83839,0.73775,0.57149,0.84612,0.8191,0.000693125,0.000693125,0.000693125
38,602.305,0.46282,0.58953,0.87273,0.8101,0.76898,0.84518,0.74495,0.57269,0.68621,0.83231,0.000677656,0.000677656,0.000677656
39,617.538,0.47641,0.61112,0.87836,0.62765,0.79968,0.75898,0.65509,0.5677,1.05745,0.83114,0.000662188,0.000662188,0.000662188
40,633.361,0.42667,0.65116,0.86604,0.79164,0.78404,0.87844,0.78694,0.58039,0.65814,0.83781,0.000646719,0.000646719,0.000646719
41,649.245,0.42196,0.47088,0.83879,0.72328,0.81436,0.81804,0.74294,0.53512,0.96089,0.82001,0.00063125,0.00063125,0.00063125
42,662.857,0.4361,0.45879,0.86608,0.75032,0.77282,0.79596,0.71289,0.5314,0.89349,0.8147,0.000615781,0.000615781,0.000615781
43,678.045,0.42791,0.49305,0.87127,0.71731,0.79365,0.80676,0.71469,0.54195,0.86133,0.81085,0.000600313,0.000600313,0.000600313
44,696.611,0.42676,0.43793,0.85913,0.59235,0.90476,0.80472,0.72933,0.55393,0.9762,0.81585,0.000584844,0.000584844,0.000584844
45,710.048,0.41548,0.47794,0.86184,0.67578,0.82407,0.79392,0.73311,0.54054,0.84131,0.81919,0.000569375,0.000569375,0.000569375
46,723.811,0.40105,0.39555,0.86307,0.64351,0.88732,0.7809,0.70748,0.53587,0.82895,0.81672,0.000553906,0.000553906,0.000553906
47,738.425,0.41504,0.4311,0.83967,0.65236,0.84226,0.74318,0.65457,0.55907,0.9018,0.81672,0.000538438,0.000538438,0.000538438
